"cityid","cityprovid","cityname","createdby","createddate","updatedby","updateddate","isactive"
"1101","11","ACEH SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1102","11","ACEH TENGGARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1103","11","ACEH TIMUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1104","11","ACEH TENGAH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1105","11","ACEH BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1106","11","ACEH BESAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1107","11","PIDIE","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1108","11","ACEH UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1109","11","SIMEULUE","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1110","11","ACEH SINGKIL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1111","11","BIREUEN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1112","11","ACEH BARAT DAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1113","11","GAYO LUES","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1114","11","ACEH JAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1115","11","NAGAN RAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1116","11","ACEH TAMIANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1117","11","BENER MERIAH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1118","11","PIDIE JAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1171","11","BANDA ACEH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1172","11","SABANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1173","11","LHOKSEUMAWE","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1174","11","LANGSA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1175","11","SUBULUSSALAM","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1201","12","TAPANULI TENGAH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1202","12","TAPANULI UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1203","12","TAPANULI SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1204","12","NIAS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1205","12","LANGKAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1206","12","KARO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1207","12","DELI SERDANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1208","12","SIMALUNGUN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1209","12","ASAHAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1210","12","LABUHANBATU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1211","12","DAIRI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1212","12","TOBA SAMOSIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1213","12","MANDAILING NATAL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1214","12","NIAS SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1215","12","PAKPAK BHARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1216","12","HUMBANG HASUNDUTAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1217","12","SAMOSIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1218","12","SERDANG BEDAGAI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1219","12","BATU BARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1220","12","PADANG LAWAS UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1221","12","PADANG LAWAS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1222","12","LABUHANBATU SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1223","12","LABUHANBATU UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1224","12","NIAS UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1225","12","NIAS BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1271","12","MEDAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1272","12","PEMATANGSIANTAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1273","12","SIBOLGA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1274","12","TANJUNG BALAI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1275","12","BINJAI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1276","12","TEBING TINGGI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1277","12","PADANGSIDIMPUAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1278","12","GUNUNGSITOLI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1301","13","PESISIR SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1302","13","SOLOK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1303","13","SIJUNJUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1304","13","TANAH DATAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1305","13","PADANG PARIAMAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1306","13","AGAM","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1307","13","LIMA PULUH KOTA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1308","13","PASAMAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1309","13","KEPULAUAN MENTAWAI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1310","13","DHARMASRAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1311","13","SOLOK SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1312","13","PASAMAN BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1371","13","PADANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1372","13","SOLOK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1373","13","SAWAHLUNTO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1374","13","PADANG PANJANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1375","13","BUKITTINGGI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1376","13","PAYAKUMBUH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1377","13","PARIAMAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1401","14","KAMPAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1402","14","INDRAGIRI HULU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1403","14","BENGKALIS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1404","14","INDRAGIRI HILIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1405","14","PELALAWAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1406","14","ROKAN HULU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1407","14","ROKAN HILIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1408","14","SIAK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1409","14","KUANTAN SINGINGI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1410","14","KEPULAUAN MERANTI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1471","14","PEKANBARU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1472","14","DUMAI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1501","15","KERINCI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1502","15","MERANGIN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1503","15","SAROLANGUN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1504","15","BATANGHARI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1505","15","MUARO JAMBI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1506","15","TANJUNG JABUNG BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1507","15","TANJUNG JABUNG TIMUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1508","15","BUNGO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1509","15","TEBO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1571","15","JAMBI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1572","15","SUNGAI PENUH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1601","16","OGAN KOMERING ULU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1602","16","OGAN KOMERING ILIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1603","16","MUARA ENIM","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1604","16","LAHAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1605","16","MUSI RAWAS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1606","16","MUSI BANYUASIN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1607","16","BANYUASIN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1608","16","OGAN KOMERING ULU TIMUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1609","16","OGAN KOMERING ULU SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1610","16","OGAN ILIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1611","16","EMPAT LAWANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1612","16","PENUKAL ABAB LEMATANG ILIR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1613","16","MUSI RAWAS UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1671","16","PALEMBANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1672","16","PAGAR ALAM","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1673","16","LUBUK LINGGAU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1674","16","PRABUMULIH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1701","17","BENGKULU SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1702","17","REJANG LEBONG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1703","17","BENGKULU UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1704","17","KAUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1705","17","SELUMA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1706","17","MUKO MUKO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1707","17","LEBONG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1708","17","KEPAHIANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1709","17","BENGKULU TENGAH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1771","17","BENGKULU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1801","18","LAMPUNG SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1802","18","LAMPUNG TENGAH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1803","18","LAMPUNG UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1804","18","LAMPUNG BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1805","18","TULANG BAWANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1806","18","TANGGAMUS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1807","18","LAMPUNG TIMUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1808","18","WAY KANAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1809","18","PESAWARAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1810","18","PRINGSEWU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1811","18","MESUJI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1812","18","TULANG BAWANG BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1813","18","PESISIR BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1871","18","BANDAR LAMPUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1872","18","METRO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1901","19","BANGKA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1902","19","BELITUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1903","19","BANGKA SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1904","19","BANGKA TENGAH","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1905","19","BANGKA BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1906","19","BELITUNG TIMUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"1971","19","PANGKAL PINANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2101","21","BINTAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2102","21","KARIMUN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2103","21","NATUNA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2104","21","LINGGA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2105","21","KEPULAUAN ANAMBAS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2171","21","BATAM","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"2172","21","TANJUNG PINANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3101","31","ADMINISTRASI KEPULAUAN SERIBU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3171","31","ADMINISTRASI JAKARTA PUSAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3172","31","ADMINISTRASI JAKARTA UTARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3173","31","ADMINISTRASI JAKARTA BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3174","31","ADMINISTRASI JAKARTA SELATAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3175","31","ADMINISTRASI JAKARTA TIMUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3201","32","BOGOR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3202","32","SUKABUMI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3203","32","CIANJUR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3204","32","BANDUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3205","32","GARUT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3206","32","TASIKMALAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3207","32","CIAMIS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3208","32","KUNINGAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3209","32","CIREBON","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3210","32","MAJALENGKA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3211","32","SUMEDANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3212","32","INDRAMAYU","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3213","32","SUBANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3214","32","PURWAKARTA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3215","32","KARAWANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3216","32","BEKASI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3217","32","BANDUNG BARAT","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3218","32","PANGANDARAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3271","32","BOGOR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3272","32","SUKABUMI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3273","32","BANDUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3274","32","CIREBON","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3275","32","BEKASI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3276","32","DEPOK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3277","32","CIMAHI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3278","32","TASIKMALAYA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3279","32","BANJAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3301","33","CILACAP","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3302","33","BANYUMAS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3303","33","PURBALINGGA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3304","33","BANJARNEGARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3305","33","KEBUMEN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3306","33","PURWOREJO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3307","33","WONOSOBO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3308","33","MAGELANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3309","33","BOYOLALI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3310","33","KLATEN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3311","33","SUKOHARJO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3312","33","WONOGIRI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3313","33","KARANGANYAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3314","33","SRAGEN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3315","33","GROBOGAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3316","33","BLORA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3317","33","REMBANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3318","33","PATI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3319","33","KUDUS","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3320","33","JEPARA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3321","33","DEMAK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3322","33","SEMARANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3323","33","TEMANGGUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3324","33","KENDAL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3325","33","BATANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3326","33","PEKALONGAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3327","33","PEMALANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3328","33","TEGAL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3329","33","BREBES","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3371","33","MAGELANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3372","33","SURAKARTA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3373","33","SALATIGA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3374","33","SEMARANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3375","33","PEKALONGAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3376","33","TEGAL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3401","34","KULON PROGO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3402","34","BANTUL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3403","34","GUNUNGKIDUL","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3404","34","SLEMAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3471","34","YOGYAKARTA","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3501","35","PACITAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3502","35","PONOROGO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3503","35","TRENGGALEK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3504","35","TULUNGAGUNG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3505","35","BLITAR","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3506","35","KEDIRI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3507","35","MALANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3508","35","LUMAJANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3509","35","JEMBER","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3510","35","BANYUWANGI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3511","35","BONDOWOSO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3512","35","SITUBONDO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3513","35","PROBOLINGGO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3514","35","PASURUAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3515","35","SIDOARJO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3516","35","MOJOKERTO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3517","35","JOMBANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3518","35","NGANJUK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3519","35","MADIUN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3520","35","MAGETAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3521","35","NGAWI","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3522","35","BOJONEGORO","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3523","35","TUBAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3524","35","LAMONGAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3525","35","GRESIK","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3526","35","BANGKALAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3527","35","SAMPANG","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3528","35","PAMEKASAN","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
"3529","35","SUMENEP","1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
